Length,Width,Freq [GHz],S11,S21,,,,,,,,
120,21,5.6,-63.65865662,-96.83379187,,,,,,,,
120,21,5.8,-63.32955319,-91.03412767,,,,,,,,
120,21,6,-62.74589028,-84.61848981,,,,,,,,
120,21,6.2,-61.80376537,-77.43460049,,,,,,,,
120,21,6.4,-60.33013164,-69.24455212,,,,,,,,
120,21,6.6,-57.97823802,-59.63619388,,,,,,,,
120,21,6.8,-53.85058538,-47.76232065,,,,,,,,
120,21,7,-44.4531907,-31.13242935,,,,,,,,
120,21,7.2,-22.36942218,-0.025240824,,,,,,,,
120,21,7.4,-47.580388,-7.58E-05,,,,,,,,
120,21,7.6,-41.0208577,-0.000343333,,,,,,,,
120,21,7.8,-41.21153712,-0.000328584,,,,,,,,
120,21,8,-41.72807482,-0.000291737,,,,,,,,
120,21,8.2,-40.80162155,-0.000361111,,,,,,,,
120,21,8.4,-39.18916592,-0.000523473,,,,,,,,
120,21,8.6,-36.53615409,-0.000964311,,,,,,,,
120,21,8.8,-33.32987518,-0.002017891,,,,,,,,
120,21,9,-30.52670304,-0.003848632,,,,,,,,
120,21,9.2,-28.42502716,-0.006245883,,,,,,,,
